username,display_name,cleaned_content,sentiment_score,comments,reposts,keyword_score,repost_to_comment_ratio,is_suspicious_engagement,user_negative_post_count,suspicion_score
@ramanmalik,Raman Malik (मोदी का परिवार),"Freelance Journalist, pro Khalistani elements and some tool whose main work is  AntiIndia propoganda. Have been put in motion by  DeepState with help of    to create a sentiment narrative that  PunjabFloods are purposely caused by the Indian state under PM",0.7184,0,0,0,0.0,False,0.0,0.0
@prabhatkhabar,Prabhat Khabar,"CM Yogi on Rahul Gandhi : ‘मर्यादा तार-तार…’, PM की मां पर बयान को लेकर गरजे CM योगी   YogiAdityanath  PMModi  INDIAlliance  UttarPradesh  IndianPolitics  YogiSlamsOpposition  PoliticalDecorum  AntiIndia  BJP  Congress",0.0,0,0,0,0.0,False,0.0,0.0
@MeraGurgaonNews,Mera Gurgaon News,"""This is an anti-India alliance, it is an anti-India alliance.""  Opposition united for power, but the question is arising - is it in the interest of the country or only in selfishness?     Rahulgandhi Votechori votraradhikaryatra antiindia politics opposition",0.3291,0,0,0,0.0,False,0.0,0.0
@MRRIGHT1369,Desh प्रेमी (#ModiKaParivaar),"Anti-SITIindia in AntiIindia,",0.0,0,0,0,0.0,False,0.0,0.0
@Vishnuram_rmp,Vishnuram,You know when a  toolkit is activated...  antiIndia  seculars will come running with renowned  ForeignPolicy advice and how to run a country from with ideas conceived by deep state,0.0,0,0,0,0.0,False,0.0,0.0
@ajitpj198,AJ,"It is funded by  AntiIndia USAID and Soros and, conversion mafia NGOs, and who knows ISI, CIA via such NGOs, or even can be Jamaat and Muslim brotherhood or ISIS via some routes",0.0,0,1,0,1.0,False,0.0,0.0
@Avanishpande01,Avanish Pandey Sankrityayan,"Stopping development under the guise of the sixth schedule is directly against national interests.  Ladakh needs strong roads, bridges and energy - not new bottlenecks.  Delay in front of China will only become India's weakness.   Sonamwangchuk China Puppet AntiIndia Theladakhfiles",0.6075,0,0,0,0.0,False,0.0,0.0
@SettyKmk,kmkSetty #Modi My Family,The whole b    ecosystem are  AntiIndia loafers specially    s coterie,0.0,0,0,0,0.0,False,0.0,0.0
@bhaskart2012,bhaskara Rao,means  AntiHindu  AntiIndia .. no doubt on that..,0.2755,0,0,0,0.0,False,2.0,0.0
@IAmJourno,Anuj Tiwari,"He is subscribed to  MuslimLeague,  TerrorSympthiser,  AntiIndia.",0.0,0,1,0,1.0,False,0.0,0.0
